,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 15 (DNA Replication),Benjamini-Hochberg adjusted regression p of GEP 15 vs r hsc,Bonferroni adjusted regression p of GEP 15 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 15 vs r prog,Bonferroni adjusted regression p of GEP 15 vs r prog
0,A1CF,-0.0689005395300338,7.748418653992913e-10,-0.0281890414461111,1.4389072990508292e-06,-7.19e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
1,A2M,-0.0848434521105719,1.425601685119008e-14,-0.0748492030062959,3.4271494419812737e-40,-0.000289536,0.9999771431101689,1.0,0.9999471363027878,1.0
2,A2ML1,-0.0678717573648561,1.4363830097560848e-09,-0.0348703945100508,1.7059786998774083e-09,-0.00019369,0.9999771431101689,1.0,0.9999471363027878,1.0
3,A2ML1.AS1,-0.0725194377934458,7.980924181041189e-11,-0.0472449271658657,1.379273990407346e-16,-0.000186951,0.9999771431101689,1.0,0.9999471363027878,1.0
4,A4GALT,-0.0397073514069273,0.0007614149932130092,-0.0325385972294908,2.1116606433955655e-08,-0.000129018,0.9999771431101689,1.0,0.9999471363027878,1.0
5,A4GNT,-0.025433273048796,0.03947878375556225,-0.0238179021289514,5.411717189114561e-05,-7.67e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
6,AA06,-0.0285058133365356,0.019530931176644842,-0.0144426738403334,0.016768378393550155,-6.51e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
7,AAAS,0.0420832336764977,0.00033156529532666967,0.1155720793324177,9.902565073627306e-95,0.0002375,0.9999771431101689,1.0,0.9999471363027878,1.0
8,AACS,-0.0336300253918634,0.005092696988158677,-0.0168206807351954,0.005054763876361235,-0.000254638,0.9999771431101689,1.0,0.9999471363027878,1.0
9,AADAC,-0.037584932558563,0.0015298268908165973,-0.0312945871438262,7.507012271559083e-08,-0.000163453,0.9999771431101689,1.0,0.9999471363027878,1.0
10,AADACL2,-0.0528434917814842,4.010498436767851e-06,-0.0480458474915404,4.030221630173856e-17,-0.00018238,0.9999771431101689,1.0,0.9999471363027878,1.0
11,AADACL3,-0.0434394232297064,0.00020169131396331505,-0.0361425475074047,4.010621313387816e-10,-0.000207169,0.9999771431101689,1.0,0.9999471363027878,1.0
12,AADACL4,-0.0335500280894012,0.005209611633781153,-0.0272257621870797,3.3791986541874537e-06,-0.000119868,0.9999771431101689,1.0,0.9999471363027878,1.0
13,AADAT,0.0595136593910692,1.5393907708954054e-07,0.0666023168922948,5.139372736152358e-32,0.000442658,0.9999771431101689,1.0,0.9999471363027878,1.0
14,AAGAB,0.0266240550638133,0.03037955546564693,0.0662313594670047,1.1403501074161735e-31,0.000283011,0.9999771431101689,1.0,0.9999471363027878,1.0
15,AAK1,-0.0443233450816482,0.00014460237224415336,-0.0257320700493343,1.1930044786714223e-05,-0.00040592,0.9999771431101689,1.0,0.9999471363027878,1.0
16,AAMP,0.0432962550697009,0.00021280538218663693,0.1002160252361935,2.243154863414567e-71,0.000303485,0.9999771431101689,1.0,0.9999471363027878,1.0
17,AAR2,0.0556193121780422,1.087750053042402e-06,0.0835202380391191,7.965976757008566e-50,0.000201194,0.9999771431101689,1.0,0.9999471363027878,1.0
18,AARS,0.06568325099339,5.22137029741402e-09,0.1414578326054076,7.520814708657299e-142,0.00047249,0.9999771431101689,1.0,0.9999471363027878,1.0
19,AASDHPPT,0.083352468332727,4.375419344795707e-14,0.1330545640737658,1.7628369781453812e-125,0.000497887,0.9999771431101689,1.0,0.9999471363027878,1.0
20,AATBC,-0.0410793372173143,0.0004729504516716271,-0.0314867490493173,6.199113660571836e-08,-0.000156326,0.9999771431101689,1.0,0.9999471363027878,1.0
21,AATF,0.0333823789046315,0.005461021336322242,0.1100812962993882,5.4489296104250754e-86,0.000201591,0.9999771431101689,1.0,0.9999471363027878,1.0
22,AATK,-0.0422017231013353,0.0003177841050323095,-0.0256400597761002,1.2852042426161818e-05,-7.67e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
23,ABAT,-0.0443570417897647,0.00014277267852014832,-0.0352685326514336,1.0917384182912523e-09,-0.000381962,0.9999771431101689,1.0,0.9999471363027878,1.0
24,ABC11.4932300O16.1,-0.043466128679167,0.00019975806470880656,-0.0393582311289817,8.14220698521407e-12,-0.000139727,0.9999771431101689,1.0,0.9999471363027878,1.0
25,ABCA1,-0.0736005880201832,3.980768642805414e-11,-0.0732549601194449,1.548471193171777e-38,-0.000279089,0.9999771431101689,1.0,0.9999471363027878,1.0
26,ABCA12,-0.0519382248911076,6.083451819915121e-06,-0.0441578897848548,1.2930718151106963e-14,-0.000235694,0.9999771431101689,1.0,0.9999471363027878,1.0
27,ABCA13,-0.0614591982043456,5.46438427245004e-08,-0.0561934316736383,4.5946536802892205e-23,-0.000452662,0.9999771431101689,1.0,0.9999471363027878,1.0
28,ABCA2,-0.0472378299361861,4.571340501475762e-05,-0.0235441006183631,6.640429383206711e-05,-0.000261877,0.9999771431101689,1.0,0.9999471363027878,1.0
29,ABCA3,-0.063909344423453,1.4298526733462693e-08,-0.0578500974036989,2.1859482976370803e-24,-0.000283386,0.9999771431101689,1.0,0.9999471363027878,1.0
30,ABCA4,-0.0457659091381386,8.209483184040869e-05,-0.02971004211174,3.518684717414619e-07,-0.000203615,0.9999771431101689,1.0,0.9999471363027878,1.0
31,ABCA5,-0.0409863661868625,0.0004881022316317554,-0.0285184872563092,1.0696602242654741e-06,-0.000264326,0.9999771431101689,1.0,0.9999471363027878,1.0
32,ABCA6,-0.0547380209806033,1.6620666436889334e-06,-0.0394265539965401,7.466257583718949e-12,-0.000213538,0.9999771431101689,1.0,0.9999471363027878,1.0
33,ABCA7,-0.0364692003811406,0.00217490899741567,-0.0258692643882539,1.0664549762128128e-05,-0.000250382,0.9999771431101689,1.0,0.9999471363027878,1.0
34,ABCA8,-0.0709765457163325,2.1365710839923622e-10,-0.0512467473125215,2.410588542024704e-19,-0.00022428,0.9999771431101689,1.0,0.9999471363027878,1.0
35,ABCA9,-0.0550716770715791,1.4199626259045613e-06,-0.0367286837634092,2.0199592991021333e-10,-0.000314815,0.9999771431101689,1.0,0.9999471363027878,1.0
36,ABCA9.AS1,-0.0434269260980072,0.00020267977305983277,-0.0344184719838909,2.818569627167382e-09,-9.64e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
37,ABCB1,0.066558043492615,3.1266302881573574e-09,0.0252593998823088,1.7500291787455077e-05,-5.66e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
38,ABCB10,0.0570519274373515,5.390176825332611e-07,0.1152429245878051,3.400730555699853e-94,0.00039276,0.9999771431101689,1.0,0.9999471363027878,1.0
39,ABCB11,-0.0316304013171995,0.008825788650390616,-0.02892963969403,7.326568902034839e-07,-0.000120919,0.9999771431101689,1.0,0.9999471363027878,1.0
40,ABCB4,-0.0619493082493007,4.1892539214127995e-08,-0.0579973606833288,1.6584260706806624e-24,-0.000229337,0.9999771431101689,1.0,0.9999471363027878,1.0
41,ABCB5,-0.0832964809499775,4.560730557829648e-14,-0.0365370858638566,2.531911098388626e-10,-0.000277323,0.9999771431101689,1.0,0.9999471363027878,1.0
42,ABCB6,-0.0398001343580752,0.0007376801516986839,-0.0251661385566983,1.8867603047041117e-05,-0.000113426,0.9999771431101689,1.0,0.9999471363027878,1.0
43,ABCB8,-0.0617542378032106,4.658559270393143e-08,-0.0267960687895828,4.897894417728142e-06,-0.000214225,0.9999771431101689,1.0,0.9999471363027878,1.0
44,ABCB9,-0.0355522450274947,0.0028833502589893827,-0.035523272704262,8.188038272698396e-10,-0.00039901,0.9999771431101689,1.0,0.9999471363027878,1.0
45,ABCC1,0.0472657009462493,4.525997087833589e-05,0.0750326253199274,2.198024575898383e-40,2.55e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
46,ABCC11,-0.0521974783157914,5.4144320694297425e-06,-0.0307364532211706,1.3058721033361006e-07,-0.000168589,0.9999771431101689,1.0,0.9999471363027878,1.0
47,ABCC12,-0.0413405935997369,0.00043162056007926114,-0.0377738749258311,5.786433821665169e-11,-0.000152639,0.9999771431101689,1.0,0.9999471363027878,1.0
48,ABCC2,-0.0444690793829088,0.00013665765793251168,-0.020778276327094,0.00046839101703242774,-0.000110017,0.9999771431101689,1.0,0.9999471363027878,1.0
49,ABCC3,-0.0796450402840701,6.467416742430547e-13,-0.0379539096828265,4.6563815136731964e-11,-0.000380024,0.9999771431101689,1.0,0.9999471363027878,1.0
50,ABCC5,-0.0829159275295558,6.069242412580447e-14,-0.0204610181333019,0.0005775167982729798,-0.000334786,0.9999771431101689,1.0,0.9999471363027878,1.0
51,ABCC8,-0.040353962287879,0.0006095580357026255,-0.0347939458699671,1.858419641089525e-09,-0.000160235,0.9999771431101689,1.0,0.9999471363027878,1.0
52,ABCC9,-0.0472024681929327,4.638782984365041e-05,-0.0421547993115992,2.0800949177626582e-13,-0.000176628,0.9999771431101689,1.0,0.9999471363027878,1.0
53,ABCD2,-0.0362114636277976,0.0023548775972929013,-0.0270713166262772,3.8614837280477875e-06,-8.28e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
54,ABCD3,0.0408745660913026,0.0005083573629887537,0.0852304492259734,7.536985701908378e-52,0.00031823,0.9999771431101689,1.0,0.9999471363027878,1.0
