,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 22 (Cell cycle),Benjamini-Hochberg adjusted regression p of GEP 22 vs r hsc,Bonferroni adjusted regression p of GEP 22 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 22 vs r prog,Bonferroni adjusted regression p of GEP 22 vs r prog
0,AC006019.3,0.076542496419445,4.437821280636351e-10,0.0151658653075095,0.02694863691070083,0.000260464,0.16062707918009012,1.0,0.9831285273395207,1.0
1,ACSM5,0.0383376716335657,0.0325612585067715,0.0572795019406671,1.5724498363847478e-23,0.00089123,0.999775974942421,1.0,0.9831285273395207,1.0
2,ACTB,-0.0392363461501662,0.02558687787478273,0.1901817308891332,5.824611907638793e-257,0.002866111,0.9302344082066558,1.0,0.9831285273395207,1.0
3,ACTG1,-0.0459514016113605,0.002498242161227115,0.130760743660068,1.6411717236587897e-120,-6.4e-05,0.999775974942421,1.0,0.9831285273395207,1.0
4,ADSL,-0.0412001084368733,0.013542519009981413,0.0644992076060094,1.193168320757008e-29,0.000197208,0.999775974942421,1.0,0.9831285273395207,1.0
5,AHNAK2,0.0402307387851,0.018721338255374236,0.1786005877914459,3.633646112872536e-226,0.003709223,0.999775974942421,1.0,0.9831285273395207,1.0
6,ANP32E,0.1108226640876037,1.5071873079490962e-22,0.3148538637161499,0.0,0.00514862,0.999775974942421,1.0,0.9831285273395207,1.0
7,AP000282.3,0.0493350905976053,0.0006936249738359675,0.0193773287129824,0.002644661263818691,0.000277236,0.5519228771291212,1.0,0.9831285273395207,1.0
8,APOLD1,0.0695440349577627,3.541408333072744e-08,0.166085438109289,3.3524631867993378e-195,0.001901648,0.9173647075382637,1.0,0.9831285273395207,1.0
9,ARL6IP1,0.1801751301848375,6.389147703843302e-63,0.508992918974964,0.0,0.010290633,0.999775974942421,1.0,0.9831285273395207,1.0
10,ASPM,0.2276987696160507,4.949845508414007e-102,0.4761780058308221,0.0,0.008627287,0.5519228771291212,1.0,0.9831285273395207,1.0
11,AURKB,0.1066234060082713,6.998608370413209e-21,0.4979218200732001,0.0,0.010356066,0.5519228771291212,1.0,0.9831285273395207,1.0
12,BTF3,-0.0455537148421162,0.002923991513389861,0.02169559980061,0.0005704281445748086,-0.001910388,0.999775974942421,1.0,0.9831285273395207,1.0
13,C4orf3,-0.0388305566719448,0.028436912260789707,0.0532787167512607,1.8645540266622175e-20,-0.000425675,0.999775974942421,1.0,0.9902356353877361,1.0
14,C6orf48,-0.0388571773407784,0.028258466126852733,0.0271836794454273,7.68120108270366e-06,-0.000742247,0.999775974942421,1.0,0.9831285273395207,1.0
15,CALM2,0.0658043836390758,2.814374529962366e-07,0.4007770745416438,0.0,0.006890166,0.999775974942421,1.0,0.9831285273395207,1.0
16,CALU,-0.0373045781751359,0.04368368904526551,0.022096052640229,0.0004302551806674647,-4.49e-05,0.999775974942421,1.0,0.9831285273395207,1.0
17,CBR3,0.0731755107021287,3.770248848328938e-09,0.1115456757128659,1.2515875202124106e-87,0.001262994,0.5185569991991769,1.0,0.9831285273395207,1.0
18,CCDC142,-0.0383800910963952,0.03235720268173116,0.0397575322776903,1.0515761504562095e-11,-0.000178883,0.999775974942421,1.0,0.9831285273395207,1.0
19,CCDC85B,-0.0371376372356059,0.04586609837096315,0.0165818566324538,0.013200192348598901,-0.000432749,0.999775974942421,1.0,0.9831285273395207,1.0
20,CCNA2,0.046540069516063,0.0019913696557940824,0.4242663329022976,0.0,0.00899812,0.15071139321700536,1.0,0.9831285273395207,1.0
21,CCNB2,0.1847139943095199,3.3887672543880995e-66,0.5165881065922696,0.0,0.009586287,0.999775974942421,1.0,0.9831285273395207,1.0
22,CD276,-0.0516692607769485,0.00025342152074608643,0.0693632368762371,3.5241361048709366e-34,-0.000950351,0.999775974942421,1.0,0.9831285273395207,1.0
23,CD36,-0.0390020195455169,0.027200914174775336,-0.041832444080326,7.076551081664121e-13,-0.000288415,0.999775974942421,1.0,0.5971422544291973,1.0
24,CD4,-0.0406124793211017,0.01643208527714674,-0.0478558441534917,1.2322678619919336e-16,-0.000307517,0.999775974942421,1.0,0.5737223777982486,1.0
25,CD44,-0.0474781941517698,0.0013621491360689558,-0.0153234905592907,0.024981733284861442,-0.000193654,0.999775974942421,1.0,0.9322371997465282,1.0
26,CD63,-0.0479281438516075,0.0011635479285995165,-0.0149147815808014,0.030322550153091217,-9.25e-05,0.999775974942421,1.0,0.8431336578046403,1.0
27,CD74,-0.0821398919837205,9.298312676700295e-12,0.0741881265091655,5.2104804745061066e-39,-0.003681147,0.999775974942421,1.0,0.34053502666474933,0.4389780363892976
28,CDC20,0.0450872352248046,0.003434836212301089,0.4550095209760648,0.0,0.009388106,0.07545672628739142,0.6036538102991313,0.9831285273395207,1.0
29,CDKN2C,0.0602908167583168,4.91092269741063e-06,0.2056170169347878,2.7789856031876132e-301,0.003093285,0.999775974942421,1.0,0.9831285273395207,1.0
30,CDKN2D,0.0665720180371791,1.816680219991003e-07,0.2338309461253135,0.0,0.002523993,0.999775974942421,1.0,0.9831285273395207,1.0
31,CENPA,0.2005448584856435,1.5502332152953208e-78,0.4533249244307414,0.0,0.00916033,0.999775974942421,1.0,0.9831285273395207,1.0
32,CENPF,0.2197013676918296,6.30387238749301e-95,0.5625771637273683,0.0,0.013725264,0.999775974942421,1.0,0.5737223777982486,1.0
